md_code,cbsa_code,md_title,cbsa_title,vintage
12054,12060,"Atlanta-Sandy Springs-Roswell, GA","Atlanta-Sandy Springs-Roswell, GA",2023
31924,12060,"Marietta, GA","Atlanta-Sandy Springs-Roswell, GA",2023
14454,14460,"Boston, MA","Boston-Cambridge-Newton, MA-NH",2023
15764,14460,"Cambridge-Newton-Framingham, MA","Boston-Cambridge-Newton, MA-NH",2023
40484,14460,"Rockingham County-Strafford County, NH","Boston-Cambridge-Newton, MA-NH",2023
16984,16980,"Chicago-Naperville-Schaumburg, IL","Chicago-Naperville-Elgin, IL-IN",2023
20994,16980,"Elgin, IL","Chicago-Naperville-Elgin, IL-IN",2023
23844,16980,"Gary, IN","Chicago-Naperville-Elgin, IL-IN-WI",2020
29404,16980,"Lake County, IL","Chicago-Naperville-Elgin, IL-IN",2023
29414,16980,"Lake County-Porter County-Jasper County, IN","Chicago-Naperville-Elgin, IL-IN",2023
19124,19100,"Dallas-Plano-Irving, TX","Dallas-Fort Worth-Arlington, TX",2023
23104,19100,"Fort Worth-Arlington-Grapevine, TX","Dallas-Fort Worth-Arlington, TX",2023
19804,19820,"Detroit-Dearborn-Livonia, MI","Detroit-Warren-Dearborn, MI",2023
47664,19820,"Warren-Troy-Farmington Hills, MI","Detroit-Warren-Dearborn, MI",2023
11244,31080,"Anaheim-Santa Ana-Irvine, CA","Los Angeles-Long Beach-Anaheim, CA",2023
31084,31080,"Los Angeles-Long Beach-Glendale, CA","Los Angeles-Long Beach-Anaheim, CA",2023
22744,33100,"Fort Lauderdale-Pompano Beach-Sunrise, FL","Miami-Fort Lauderdale-West Palm Beach, FL",2023
33124,33100,"Miami-Miami Beach-Kendall, FL","Miami-Fort Lauderdale-West Palm Beach, FL",2023
48424,33100,"West Palm Beach-Boca Raton-Delray Beach, FL","Miami-Fort Lauderdale-West Palm Beach, FL",2023
29484,35620,"Lakewood-New Brunswick, NJ","New York-Newark-Jersey City, NY-NJ",2023
35004,35620,"Nassau County-Suffolk County, NY","New York-Newark-Jersey City, NY-NJ",2023
35084,35620,"Newark, NJ","New York-Newark-Jersey City, NY-NJ",2023
35154,35620,"New Brunswick-Lakewood, NJ","New York-Newark-Jersey City, NY-NJ-PA",2020
35614,35620,"New York-Jersey City-White Plains, NY-NJ","New York-Newark-Jersey City, NY-NJ",2023
15804,37980,"Camden, NJ","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2023
33874,37980,"Montgomery County-Bucks County-Chester County, PA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2023
37964,37980,"Philadelphia, PA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2023
48864,37980,"Wilmington, DE-MD-NJ","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2023
36084,41860,"Oakland-Fremont-Berkeley, CA","San Francisco-Oakland-Fremont, CA",2023
41884,41860,"San Francisco-San Mateo-Redwood City, CA","San Francisco-Oakland-Fremont, CA",2023
42034,41860,"San Rafael, CA","San Francisco-Oakland-Fremont, CA",2023
21794,42660,"Everett, WA","Seattle-Tacoma-Bellevue, WA",2023
42644,42660,"Seattle-Bellevue-Kent, WA","Seattle-Tacoma-Bellevue, WA",2023
45104,42660,"Tacoma-Lakewood, WA","Seattle-Tacoma-Bellevue, WA",2023
41304,45300,"St. Petersburg-Clearwater-Largo, FL","Tampa-St. Petersburg-Clearwater, FL",2023
45294,45300,"Tampa, FL","Tampa-St. Petersburg-Clearwater, FL",2023
11694,47900,"Arlington-Alexandria-Reston, VA-WV","Washington-Arlington-Alexandria, DC-VA-MD-WV",2023
23224,47900,"Frederick-Gaithersburg-Bethesda, MD","Washington-Arlington-Alexandria, DC-VA-MD-WV",2023
47764,47900,"Washington, DC-MD","Washington-Arlington-Alexandria, DC-VA-MD-WV",2023
47894,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV","Washington-Arlington-Alexandria, DC-VA-MD-WV",2020
