Field #,Field Width,Header Name,Field Name,Values,Description / Comments
1,1,enterprise,Enterprise Flag,1 = Fannie Mae 2 = Freddie Mac,Flag identifying whether the mortgage was purchased by Fannie Mae or by Freddie Mac. Fannie Mae and Freddie Mac are collectively referred to as the Enterprises in this document.
2,8,record_num_sf_ctf,Record Number,"Starts at 10,000,001 for Fannie Mae and 20,000,0001 for Freddie Mac",Sequential numerical identifier for the property not related to the record number in the three National Files.
3,2,state_fips,US Postal State Code,See the STATE/COUNTY file for a list of State codes and names. 00 = Missing,"Two-digit numerical American National Standards Institute (ANSI) Federal Information Processing Series (FIPS) code, with a leading zero when applicable, indicating where the property is located."
4,5,cbsa_metro_code,Metropolitan Statistical Area (MSA) Code,See the MSA file for a list of MSA codes and names. 00000 = Missing code 99999 = In a non-metropolitan area Other = specific metropolitan area,"Five-digit numerical code for the property’s MSA if the property is located in an MSA, based on MSA definitions in effect on January 1, 2024."
5,3,county_fips,County - 2020 Census,See the STATE/COUNTY file for a list of codes and County/Parish/Borough names listed by FIPS State code. 000 = Missing,"Three-digit numerical FIPS county code, with leading zeros when applicable, indicating where the property is located. The transition in Connecticut from eight counties to nine planning regions occurred in the 2024 PUDB. See https://www.govinfo.gov/content/pkg/FR-2022-06-06/pdf/2022-12063.pdf."
6,6,tract_2020,Census Tract - 2020 Census,3-6 digits with 2 implied decimals Example of data format: 002701 = Census tract 27.01 000000 = Missing,"The tract number as used in the 2020 decennial census, with leading zeros when applicable, indicating where the property is located."
7,6,tract_minority_pct,2020 Census Tract - Percent Minority,Example of data format: 66.95 = 66.95 percent of the census tract population is minority. 9999.0 = Not available,"The percentage of the census tract’s population that is classified as belonging to a minority group, based on the 2020 decennial census. See definition of Minority in 12 CFR 1282.1."
8,6,tract_income_med,2020 Census Tract - Median Income,999999 = Not available,"The 2024 median family income for the census tract (in whole dollars) based on 2020 Census geography and the most recent American Community Survey (ACS) 5-year estimates available on January 1, 2024. The values for this field are supplied by FHFA."
9,6,ami_local,Local Area Median Income,999999 = Not available,"The 2024 MSA median family income, or for properties outside MSAs, the county median family income or the State non-metropolitan median income, whichever is greater, based on 2020 Census geography and the most recent ACS 5-year estimates available on January 1, 2024. The values for this field are supplied by FHFA."
10,8,tract_income_ratio,Tract Income Ratio,Example of data format: 1.7500 = The tract income is 175 percent of the local area median income. 9999.000 = Not able to code,The ratio of the 2020 Census tract median income to the local area median income. This is the ratio used to determine whether the census tract qualifies as a low-income area for purposes of the single-family low-income areas housing goal. See definition of Families in low-income areas in 12 CFR 1282.1.
