Field #,Field Width,Field Name,year
1,1,Enterprise Flag,2008
2,7,Record Number,2008
3,2,US Postal State Code,2008
4,5,Metropolitan Statistical Area (MSA) Code,2008
5,3,County - 2000 Census,2008
6,6,Census Tract - 2000 Census,2008
7,6,2000 Census Tract - Percent Minority,2008
8,6,2000 Census Tract - Median Income,2008
9,6,2000 Local Area Median Income,2008
10,8,Tract Income Ratio,2008
11,6,Area Median Family Income (2008),2008
12,9,Acquisition Unpaid Principal Balance (UPB),2008
13,1,Purpose of Loan,2008
14,1,Type of Seller Institution,2008
15,1,Federal Guarantee,2008
16,1,Underserved Areas Indicator,2008
17,1,Lien Status,2008
1,1,Enterprise Flag,2009
2,7,Record Number,2009
3,2,US Postal State Code,2009
4,5,Metropolitan Statistical Area (MSA) Code,2009
5,3,County - 2000 Census,2009
6,6,Census Tract - 2000 Census,2009
7,6,2000 Census Tract - Percent Minority,2009
8,6,2000 Census Tract - Median Income,2009
9,6,2000 Local Area Median Income,2009
10,8,Tract Income Ratio,2009
11,6,Area Median Family Income (2009),2009
12,9,Acquisition Unpaid Principal Balance (UPB),2009
13,1,Purpose of Loan,2009
14,1,Type of Seller Institution,2009
15,1,Federal Guarantee,2009
16,1,Underserved Areas Indicator,2009
17,1,Lien Status,2009
1,1,Enterprise Flag,2010
2,7,Record Number,2010
3,2,US Postal State Code,2010
4,5,Metropolitan Statistical Area (MSA) Code,2010
5,3,County - 2000 Census,2010
6,6,Census Tract - 2000 Census,2010
7,6,2000 Census Tract - Percent Minority,2010
8,6,2000 Census Tract - Median Income,2010
9,6,2000 Local Area Median Income,2010
10,8,Tract Income Ratio,2010
11,6,Area Median Family Income (2010),2010
12,9,Acquisition Unpaid Principal Balance (UPB),2010
13,1,Purpose of Loan,2010
14,1,Type of Seller Institution,2010
15,1,Federal Guarantee,2010
16,1,Lien Status,2010
1,1,Enterprise Flag,2011
2,7,Record Number,2011
3,2,US Postal State Code,2011
4,5,Metropolitan Statistical Area (MSA) Code,2011
5,3,County - 2000 Census,2011
6,6,Census Tract - 2000 Census,2011
7,6,2000 Census Tract - Percent Minority,2011
8,6,2000 Census Tract - Median Income,2011
9,6,2000 Local Area Median Income,2011
10,8,Tract Income Ratio,2011
11,6,Area Median Family Income (2011),2011
12,9,Acquisition Unpaid Principal Balance (UPB),2011
13,1,Purpose of Loan,2011
14,1,Type of Seller Institution,2011
15,1,Federal Guarantee,2011
16,1,Lien Status,2011
1,1,Enterprise Flag,2012
2,7,Record Number,2012
3,2,US Postal State Code,2012
4,5,Metropolitan Statistical Area (MSA) Code,2012
5,3,County - 2010 Census,2012
6,6,Census Tract - 2010 Census,2012
7,6,2010 Census Tract - Percent Minority,2012
8,6,2010 Census Tract - Median Income,2012
9,6,Local Area Median Income,2012
10,8,Tract Income Ratio,2012
11,6,Area Median Family Income (2012),2012
12,9,Acquisition Unpaid Principal Balance (UPB),2012
13,1,Purpose of Loan,2012
14,1,Type of Seller Institution,2012
15,1,Federal Guarantee,2012
16,1,Lien Status,2012
1,1,Enterprise Flag,2013
2,7,Record Number,2013
3,2,US Postal State Code,2013
4,5,Metropolitan Statistical Area (MSA) Code,2013
5,3,County - 2010 Census,2013
6,6,Census Tract - 2010 Census,2013
7,6,2010 Census Tract - Percent Minority,2013
8,6,2010 Census Tract - Median Income,2013
9,6,Local Area Median Income,2013
10,8,Tract Income Ratio,2013
11,6,Area Median Family Income (2013),2013
12,9,Acquisition Unpaid Principal Balance (UPB),2013
13,1,Purpose of Loan,2013
