Field #,Field Width,Field Name,year
1,1,Enterprise Flag,2008
2,7,Record Number,2008
3,1,2000 Census Tract - Percent Minority,2008
4,1,Tract Income Ratio,2008
5,1,Affordability Category,2008
6,1,Date of Mortgage Note,2008
7,1,Purpose of Loan,2008
8,1,Type of Seller Institution,2008
9,1,Federal Guarantee,2008
10,5,Total Number of Units,2008
11,1,Underserved Areas Indicator,2008
1,1,Enterprise Flag,2009
2,7,Record Number,2009
3,1,2000 Census Tract - Percent Minority,2009
4,1,Tract Income Ratio,2009
5,1,Affordability Category,2009
6,1,Date of Mortgage Note,2009
7,1,Purpose of Loan,2009
8,1,Type of Seller Institution,2009
9,1,Federal Guarantee,2009
10,5,Total Number of Units,2009
11,1,Underserved Areas Indicator,2009
1,1,Enterprise Flag,2010
2,7,Record Number,2010
3,1,2000 Census Tract - Percent Minority,2010
4,1,Tract Income Ratio,2010
5,1,Affordability Category,2010
6,1,Date of Mortgage Note,2010
7,1,Purpose of Loan,2010
8,1,Type of Seller Institution,2010
9,1,Federal Guarantee,2010
10,5,Total Number of Units,2010
1,1,Enterprise Flag,2012
2,7,Record Number,2012
3,1,2010 Census Tract - Percent Minority,2012
4,1,Tract Income Ratio,2012
5,1,Affordability Category,2012
6,1,Date of Mortgage Note,2012
7,1,Purpose of Loan,2012
8,1,Type of Seller Institution,2012
9,1,Federal Guarantee,2012
10,5,Total Number of Units,2012
1,1,Enterprise Flag,2013
2,7,Record Number,2013
3,1,2010 Census Tract - Percent Minority,2013
4,1,Tract Income Ratio,2013
5,1,Affordability Category,2013
6,1,Date of Mortgage Note,2013
7,1,Purpose of Loan,2013
8,1,Type of Seller Institution,2013
9,1,Federal Guarantee,2013
10,5,Total Number of Units,2013
1,1,Enterprise Flag,2014
2,7,Record Number,2014
3,1,2010 Census Tract - Percent Minority,2014
4,1,Tract Income Ratio,2014
5,1,Affordability Category,2014
6,1,Date of Mortgage Note,2014
7,1,Purpose of Loan,2014
8,1,Type of Seller Institution,2014
9,1,Federal Guarantee,2014
10,5,Total Number of Units,2014
1,1,Enterprise Flag,2015
2,7,Record Number,2015
3,1,2010 Census Tract - Percent Minority,2015
4,1,Tract Income Ratio,2015
5,1,Affordability Category,2015
6,1,Date of Mortgage Note,2015
7,1,Purpose of Loan,2015
8,1,Type of Seller Institution,2015
9,1,Federal Guarantee,2015
10,5,Total Number of Units,2015
1,1,Enterprise Flag,2016
2,7,Record Number,2016
3,1,2010 Census Tract - Percent Minority,2016
4,1,Tract Income Ratio,2016
5,1,Affordability Category,2016
6,1,Date of Mortgage Note,2016
7,1,Purpose of Loan,2016
8,1,Type of Seller Institution,2016
9,1,Federal Guarantee,2016
10,5,Total Number of Units,2016
1,1,Enterprise Flag,2017
2,7,Record Number,2017
3,1,2010 Census Tract - Percent Minority,2017
4,1,Tract Income Ratio,2017
5,1,Affordability Category,2017
6,1,Date of Mortgage Note,2017
7,1,Purpose of Loan,2017
8,1,Type of Seller Institution,2017
9,1,Federal Guarantee,2017
10,5,Total Number of Units,2017
1,1,Enterprise Flag,2018
2,7,Record Number,2018
3,1,2010 Census Tract - Percent Minority,2018
4,1,Tract Income Ratio,2018
5,1,Affordability Category,2018
6,1,Date of Mortgage Note,2018
7,1,Purpose of Loan,2018
8,1,Type of Seller Institution,2018
9,1,Federal Guarantee,2018
10,1,Total Number of Units,2018
1,1,Enterprise Flag,2019
2,7,Record Number,2019
3,1,2010 Census Tract - Percent Minority,2019
4,1,Tract Income Ratio,2019
5,1,Affordability Category,2019
6,1,Date of Mortgage Note,2019
7,1,Purpose of Loan,2019
8,1,Type of Seller Institution,2019
9,1,Federal Guarantee,2019
10,1,Total Number of Units,2019
1,1,Enterprise Flag,2020
2,7,Record Number,2020
3,1,2010 Census Tract - Percent Minority,2020
4,1,Tract Income Ratio,2020
5,1,Affordability Category,2020
6,1,Date of Mortgage Note,2020
7,1,Purpose of Loan,2020
8,1,Type of Seller Institution,2020
9,1,Federal Guarantee,2020
10,1,Total Number of Units,2020
1,1,Enterprise Flag,2021
2,7,Record Number,2021
3,1,2010 Census Tract - Percent Minority,2021
4,1,Tract Income Ratio,2021
5,1,Affordability Category,2021
6,1,Date of Mortgage Note,2021
7,1,Purpose of Loan,2021
8,1,Type of Seller Institution,2021
9,1,Federal Guarantee,2021
10,1,Total Number of Units,2021
1,1,Enterprise Flag,2022
2,7,Record Number,2022
3,1,2020 Census Tract - Percent Minority,2022
4,1,Tract Income Ratio,2022
5,1,Affordability Category,2022
6,1,Date of Mortgage Note,2022
7,1,Purpose of Loan,2022
8,1,Type of Seller Institution,2022
9,1,Federal Guarantee,2022
10,1,Total Number of Units,2022
1,1,Enterprise Flag,2023
2,7,Record Number,2023
3,1,2020 Census Tract - Percent Minority,2023
4,1,Tract Income Ratio,2023
5,1,Affordability Category,2023
6,1,Date of Mortgage Note,2023
7,1,Purpose of Loan,2023
8,1,Type of Seller Institution,2023
9,1,Federal Guarantee,2023
10,1,Total Number of Units,2023
1,1,Enterprise Flag,2024
2,8,Record Number,2024
3,1,2020 Census Tract - Percent Minority,2024
4,1,Tract Income Ratio,2024
5,1,Affordability Category,2024
6,1,Date of Mortgage Note,2024
7,1,Purpose of Loan,2024
8,1,Type of Seller Institution,2024
9,1,Federal Guarantee,2024
10,1,Total Number of Units,2024
