Field #,Field Width,Field Name,year
1,1,Enterprise Flag,2008
2,7,Record Number,2008
3,2,US Postal State Code,2008
4,5,Metropolitan Statistical Area (MSA) Code,2008
5,3,County - 2000 Census,2008
6,6,Census Tract - 2000 Census,2008
7,6,2000 Census Tract - Percent Minority,2008
8,6,2000 Census Tract - Median Income,2008
9,6,2000 Local Area Median Income,2008
10,8,Tract Income Ratio,2008
11,9,Borrower’s (or Borrowers’) Annual Income,2008
12,6,Area Median Family Income (2008),2008
13,8,Borrower Income Ratio,2008
14,9,Acquisition Unpaid Principal Balance (UPB),2008
15,1,Purpose of Loan,2008
16,1,Federal Guarantee,2008
17,2,Number of Borrowers,2008
18,1,First-Time Home Buyer,2008
19,1,Borrower Race or National Origin 1,2008
20,1,Borrower Race or National Origin 2,2008
21,1,Borrower Race or National Origin 3,2008
22,1,Borrower Race or National Origin 4,2008
23,1,Borrower Race or National Origin 5,2008
24,1,Borrower Ethnicity,2008
25,1,Co-Borrower Race or National Origin 1,2008
26,1,Co-Borrower Race or National Origin 2,2008
27,1,Co-Borrower Race or National Origin 3,2008
28,1,Co-Borrower Race or National Origin 4,2008
29,1,Co-Borrower Race or National Origin 5,2008
30,1,Co-Borrower Ethnicity,2008
31,1,Borrower Sex,2008
32,1,Co-Borrower Sex,2008
33,3,Age of Borrower,2008
34,3,Age of Co-Borrower,2008
35,1,Occupancy Code,2008
36,1,Underserved Areas Indicator,2008
37,5,Rate Spread,2008
38,1,HOEPA Status,2008
39,1,Property Type,2008
40,1,Lien Status,2008
1,1,Enterprise Flag,2009
2,7,Record Number,2009
3,2,US Postal State Code,2009
4,5,Metropolitan Statistical Area (MSA) Code,2009
5,3,County - 2000 Census,2009
6,6,Census Tract - 2000 Census,2009
7,6,2000 Census Tract - Percent Minority,2009
8,6,2000 Census Tract - Median Income,2009
9,6,2000 Local Area Median Income,2009
10,8,Tract Income Ratio,2009
11,9,Borrower’s (or Borrowers’) Annual Income,2009
12,6,Area Median Family Income (2009),2009
13,8,Borrower Income Ratio,2009
14,9,Acquisition Unpaid Principal Balance (UPB),2009
15,1,Purpose of Loan,2009
16,1,Federal Guarantee,2009
17,2,Number of Borrowers,2009
18,1,First-Time Home Buyer,2009
19,1,Borrower Race or National Origin 1,2009
20,1,Borrower Race or National Origin 2,2009
21,1,Borrower Race or National Origin 3,2009
22,1,Borrower Race or National Origin 4,2009
23,1,Borrower Race or National Origin 5,2009
24,1,Borrower Ethnicity,2009
25,1,Co-Borrower Race or National Origin 1,2009
26,1,Co-Borrower Race or National Origin 2,2009
27,1,Co-Borrower Race or National Origin 3,2009
28,1,Co-Borrower Race or National Origin 4,2009
29,1,Co-Borrower Race or National Origin 5,2009
30,1,Co-Borrower Ethnicity,2009
31,1,Borrower Sex,2009
32,1,Co-Borrower Sex,2009
33,3,Age of Borrower,2009
34,3,Age of Co-Borrower,2009
35,1,Occupancy Code,2009
36,1,Underserved Areas Indicator,2009
37,5,Rate Spread,2009
38,1,HOEPA Status,2009
39,1,Property Type,2009
40,1,Lien Status,2009
1,1,Enterprise Flag,2010
2,7,Record Number,2010
3,2,US Postal State Code,2010
4,5,Metropolitan Statistical Area (MSA) Code,2010
5,3,County - 2000 Census,2010
6,6,Census Tract - 2000 Census,2010
7,6,2000 Census Tract - Percent Minority,2010
8,6,2000 Census Tract - Median Income,2010
9,6,2000 Local Area Median Income,2010
10,8,Tract Income Ratio,2010
11,9,Borrower’s (or Borrowers’) Annual Income,2010
12,6,Area Median Family Income (2010),2010
