Item,Data Item,Begin,End,Type,Length,Remarks,File,Min_Date,Max_Date,Record_Type,pandas_dtype,polars_dtype
1,CUSIP Number,1,9,Character,9,X(9),hmonthly_layout.pdf,,,D,string,String
2,Pool ID,10,15,Character,6,X(6),hmonthly_layout.pdf,,,D,string,String
3,Pool Indicator (H),16,16,Character,1,X,hmonthly_layout.pdf,,,D,string,String
4,Pool Type,17,18,Character,2,X(2),hmonthly_layout.pdf,,,D,string,String
5,Record Type (D=Pool Details),19,19,Character,1,X,hmonthly_layout.pdf,,,D,string,String
6,Current Security Interest Rate (WAC),20,24,Numeric,5,9(2)v9(3),hmonthly_layout.pdf,,,D,float64,Float64
7,Pool Issue Date,25,32,Numeric,8,9(8),hmonthly_layout.pdf,,,D,Int64,Int64
8,Original Aggregate Amount,33,47,Numeric,15,9(13)v9(2),hmonthly_layout.pdf,,,D,float64,Float64
9,Issuer Number,48,51,Numeric,4,9(4),hmonthly_layout.pdf,,,D,Int64,Int64
10,Issuer Name,52,91,Character,40,X(40),hmonthly_layout.pdf,,,D,string,String
11,Index Type,92,96,Character,5,X(5),hmonthly_layout.pdf,,,D,string,String
12,Number of participations in pool (current number of participations in the pool),97,102,Numeric,6,9(6),hmonthly_layout.pdf,,,D,Int64,Int64
13,Average Original Participation Size (AOPS),103,110,Numeric,8,9(6)v9(2),hmonthly_layout.pdf,,,D,float64,Float64
14,Maximum AOPS (Q4),111,118,Numeric,8,9(6)v9(2),hmonthly_layout.pdf,,,D,float64,Float64
15,Minimum AOPS (Q0),119,126,Numeric,8,9(6)v9(2),hmonthly_layout.pdf,,,D,float64,Float64
16,WAC of the Participations (the reported (prospective) WAC of the pool),127,131,Numeric,5,9(2)v9(3),hmonthly_layout.pdf,,,D,float64,Float64
17,Maximum WAC (Q4)( the reported prospective WAC),132,136,Numeric,5,9(2)v9(3),hmonthly_layout.pdf,,,D,float64,Float64
18,Minimum WAC (Q0) (The reported prospective WAC),137,141,Numeric,5,9(2)v9(3),hmonthly_layout.pdf,,,D,float64,Float64
19,WALA Participations (based on HECM loan origination date and participation UPB),142,144,Numeric,3,9(3),hmonthly_layout.pdf,,,D,Int64,Int64
20,Maximum WALA (Q4),145,147,Numeric,3,9(3),hmonthly_layout.pdf,,,D,Int64,Int64
21,Minimum WALA (Q0),148,150,Numeric,3,9(3),hmonthly_layout.pdf,,,D,Int64,Int64
22,Pay Op TERM Number Of Participations,151,156,Numeric,6,9(6),hmonthly_layout.pdf,,,D,Int64,Int64
23,Pay Op TERM UPB of Participations,157,169,Numeric,13,9(11)v9(2),hmonthly_layout.pdf,,,D,float64,Float64
24,Pay Op TERM UPB of Participations as % of Pool UPB,170,174,Numeric,5,9(3)v9(2),hmonthly_layout.pdf,,,D,float64,Float64
25,Pay Op TERM UPB of Participations as % of Principal Limit of HECM Loans,175,179,Numeric,5,9(3)v9(2),hmonthly_layout.pdf,,,D,float64,Float64
26,Pay Op TERM UPB of Participations as % of MCA of HECM Loans,180,184,Numeric,5,9(3)v9(2),hmonthly_layout.pdf,,,D,float64,Float64
27,Pay Op TERM HECM Loans UPB as % of Principal Limit of HECM Loans,185,189,Numeric,5,9(3)v9(2),hmonthly_layout.pdf,,,D,float64,Float64
28,Pay Op TERM HECM Loans UPB as % of MCA of HECM loans,190,194,Numeric,5,9(3)v9(2),hmonthly_layout.pdf,,,D,float64,Float64
29,Pay Op TENURE Number Of Participations,195,200,Numeric,6,9(6),hmonthly_layout.pdf,,,D,Int64,Int64
30,Pay Op TENURE UPB of Participations,201,213,Numeric,13,9(11)v9(2),hmonthly_layout.pdf,,,D,float64,Float64
31,Pay Op TENURE UPB of Participations as % of Pool UPB,214,218,Numeric,5,9(3)v9(2),hmonthly_layout.pdf,,,D,float64,Float64
32,Pay Op TENURE UPB of Participations as % of Principal Limit of HECM Loans,219,223,Numeric,5,9(3)v9(2),hmonthly_layout.pdf,,,D,float64,Float64
33,Pay Op TENURE UPB of Participations as % of MCA of HECM Loans,224,228,Numeric,5,9(3)v9(2),hmonthly_layout.pdf,,,D,float64,Float64
34,Pay Op TENURE HECM Loan UPB as % of Principal Limit of HECM Loans,229,233,Numeric,5,9(3)v9(2),hmonthly_layout.pdf,,,D,float64,Float64
35,Pay Op TENURE HECM Loan UPB as % of MCA of HECM Loans,234,238,Numeric,5,9(3)v9(2),hmonthly_layout.pdf,,,D,float64,Float64
36,Pay Op LOC Number Of Participations,239,244,Numeric,6,9(6),hmonthly_layout.pdf,,,D,Int64,Int64
37,Pay Op LOC UPB of Participations,245,257,Numeric,13,9(11)v9(2),hmonthly_layout.pdf,,,D,float64,Float64
38,Pay Op LOC UPB of Participations as % of Pool UPB,258,262,Numeric,5,9(3)v9(2),hmonthly_layout.pdf,,,D,float64,Float64
39,Pay Op LOC UPB of Participations as % of Principal Limit of HECM Loans,263,267,Numeric,5,9(3)v9(2),hmonthly_layout.pdf,,,D,float64,Float64
40,Pay Op LOC UPB of Participations as % of MCA of HECM Loans,268,272,Numeric,5,9(3)v9(2),hmonthly_layout.pdf,,,D,float64,Float64
41,Pay Op LOC HECM Loan UPB as % of Principal Limit of HECM Loans,273,277,Numeric,5,9(3)v9(2),hmonthly_layout.pdf,,,D,float64,Float64
42,Pay Op LOC HECM Loan UPB as % of MCA of HECM Loans,278,282,Numeric,5,9(3)v9(2),hmonthly_layout.pdf,,,D,float64,Float64
43,Pay Op MOD TENURE Number Of Participations,283,288,Numeric,6,9(6),hmonthly_layout.pdf,,,D,Int64,Int64
44,Pay Op MOD TENURE UPB of Participations,289,301,Numeric,13,9(11)v9(2),hmonthly_layout.pdf,,,D,float64,Float64
45,Pay Op MOD TENURE UPB of Participations as % of Pool UPB,302,306,Numeric,5,9(3)v9(2),hmonthly_layout.pdf,,,D,float64,Float64
46,Pay Op MOD TENURE UPB of Participations as % of Principal Limit of HECM Loans,307,311,Numeric,5,9(3)v9(2),hmonthly_layout.pdf,,,D,float64,Float64
47,Pay Op MOD TENURE UPB of Participations as % of MCA of HECM Loans,312,316,Numeric,5,9(3)v9(2),hmonthly_layout.pdf,,,D,float64,Float64
48,Pay Op MOD TENURE HECM Loan UPB as % of Principal Limit of HECM Loans,317,321,Numeric,5,9(3)v9(2),hmonthly_layout.pdf,,,D,float64,Float64
49,Pay Op MOD TENURE HECM Loan UPB as % of MCA of HECM Loans,322,326,Numeric,5,9(3)v9(2),hmonthly_layout.pdf,,,D,float64,Float64
50,Pay Op MOD TERM Number of Participations,327,332,Numeric,6,9(6),hmonthly_layout.pdf,,,D,Int64,Int64
51,Pay Op MOD TERM UPB of Participations,333,345,Numeric,13,9(11)v9(2),hmonthly_layout.pdf,,,D,float64,Float64
52,Pay Op MOD TERM UPB of Participations as % of Pool UPB,346,350,Numeric,5,9(3)v9(2),hmonthly_layout.pdf,,,D,float64,Float64
53,Pay Op MOD TERM UPB of Participations as % of Principal Limit of HECM Loans,351,355,Numeric,5,9(3)v9(2),hmonthly_layout.pdf,,,D,float64,Float64
54,Pay Op MOD TERM UPB of Participations as % of MCA of HECM Loans,356,360,Numeric,5,9(3)v9(2),hmonthly_layout.pdf,,,D,float64,Float64
55,Pay Op MOD TERM HECM UPB as % of Principal Limit of HECM Loans,361,365,Numeric,5,9(3)v9(2),hmonthly_layout.pdf,,,D,float64,Float64
56,Pay Op MOD TERM HECM UPB as % of MCA of HECM Loans,366,370,Numeric,5,9(3)v9(2),hmonthly_layout.pdf,,,D,float64,Float64
57,Pay Op LUMP SUM Number of Participations,371,376,Numeric,6,9(6),hmonthly_layout.pdf,,,D,Int64,Int64
58,Pay Op LUMP SUM UPB of Participations,377,389,Numeric,13,9(11)v9(2),hmonthly_layout.pdf,,,D,float64,Float64
59,Pay Op LUMP SUM UPB of Participations as % of Pool UPB,390,394,Numeric,5,9(3)v9(2),hmonthly_layout.pdf,,,D,float64,Float64
60,Pay Op LUMP SUM UPB of Participations as % of Principal Limit of HECM Loans,395,399,Numeric,5,9(3)v9(2),hmonthly_layout.pdf,,,D,float64,Float64
61,Pay Op LUMP SUM UPB of Participations as % of MCA of HECM Loans,400,404,Numeric,5,9(3)v9(2),hmonthly_layout.pdf,,,D,float64,Float64
62,Pay Op LUMP SUM HECM UPB as % of Principal Limit of HECM Loans,405,409,Numeric,5,9(3)v9(2),hmonthly_layout.pdf,,,D,float64,Float64
63,Pay Op LUMP SUM HECM UPB as % of MCA of HECM Loans,410,414,Numeric,5,9(3)v9(2),hmonthly_layout.pdf,,,D,float64,Float64
64,Pay Op Not Available Number of Participations,415,420,Numeric,6,9(6),hmonthly_layout.pdf,,,D,Int64,Int64
65,Pay Op Not Available UPB of Participations,421,433,Numeric,13,9(11)v9(2),hmonthly_layout.pdf,,,D,float64,Float64
66,Pay Op Not Available UPB of Participations as % of Pool UPB,434,438,Numeric,5,9(3)v9(2),hmonthly_layout.pdf,,,D,float64,Float64
67,Pay Op Not Available UPB of Participations as % of Principal Limit of HECM Loans,439,443,Numeric,5,9(3)v9(2),hmonthly_layout.pdf,,,D,float64,Float64
68,Pay Op Not Available UPB of Participations as % of MCA of HECM Loans,444,448,Numeric,5,9(3)v9(2),hmonthly_layout.pdf,,,D,float64,Float64
69,Pay Op Not Available HECM UPB as % of Principal Limit of HECM Loans,449,453,Numeric,5,9(3)v9(2),hmonthly_layout.pdf,,,D,float64,Float64
70,Pay Op Not Available HECM UPB as % of MCA of HECM Loans,454,458,Numeric,5,9(3)v9(2),hmonthly_layout.pdf,,,D,float64,Float64
71,Property Type SINGLE FAMILY Number of Participations,459,464,Numeric,6,9(6),hmonthly_layout.pdf,,,D,Int64,Int64
72,Property Type SINGLE FAMILY UPB of Participations,465,477,Numeric,13,9(11)v9(2),hmonthly_layout.pdf,,,D,float64,Float64
73,Property Type SINGLE FAMILY UPB of Participations as % of Pool UPB,478,482,Numeric,5,9(3)v9(2),hmonthly_layout.pdf,,,D,float64,Float64
74,Property Type SINGLE FAMILY UPB of Participations as % of Principal Limit of HECM Loans,483,487,Numeric,5,9(3)v9(2),hmonthly_layout.pdf,,,D,float64,Float64
75,Property Type SINGLE FAMILY UPB of Participations as % of MCA of HECM Loans,488,492,Numeric,5,9(3)v9(2),hmonthly_layout.pdf,,,D,float64,Float64
76,Property Type SINGLE FAMILY HECM Loan UPB as % of Principal Limit of HECM Loans,493,497,Numeric,5,9(3)v9(2),hmonthly_layout.pdf,,,D,float64,Float64
77,Property Type SINGLE FAMILY HECM Loan UPB as % of MCA of HECM Loans,498,502,Numeric,5,9(3)v9(2),hmonthly_layout.pdf,,,D,float64,Float64
78,Property Type CONDO Number of Participations,503,508,Numeric,6,9(6),hmonthly_layout.pdf,,,D,Int64,Int64
79,Property Type CONDO UPB of Participations,509,521,Numeric,13,9(11)v9(2),hmonthly_layout.pdf,,,D,float64,Float64
80,Property Type CONDO UPB of Participations as % of Pool UPB,522,526,Numeric,5,9(3)v9(2),hmonthly_layout.pdf,,,D,float64,Float64
81,Property Type CONDO UPB of Participations as % of Principal Limit of HECM Loans,527,531,Numeric,5,9(3)v9(2),hmonthly_layout.pdf,,,D,float64,Float64
82,Property Type CONDO UPB of Participations as % of MCA of HECM Loans,532,536,Numeric,5,9(3)v9(2),hmonthly_layout.pdf,,,D,float64,Float64
83,Property Type CONDO HECM Loans UPB as % of Principal Limit of HECM Loans,537,541,Numeric,5,9(3)v9(2),hmonthly_layout.pdf,,,D,float64,Float64
84,Property Type CONDO HECM Loans UPB as % of MCA of HECM Loans,542,546,Numeric,5,9(3)v9(2),hmonthly_layout.pdf,,,D,float64,Float64
85,Property Type MANUF Number of Participations,547,552,Numeric,6,9(6),hmonthly_layout.pdf,,,D,Int64,Int64
86,Property Type MANUF UPB of Participations,553,565,Numeric,13,9(11)v9(2),hmonthly_layout.pdf,,,D,float64,Float64
87,Property Type MANUF UPB of Participations as % of Pool UPB,566,570,Numeric,5,9(3)v9(2),hmonthly_layout.pdf,,,D,float64,Float64
88,Property Type MANUF UPB of Participations as % of Principal Limit of HECM Loans,571,575,Numeric,5,9(3)v9(2),hmonthly_layout.pdf,,,D,float64,Float64
89,Property Type MANUF UPB of Participations as % of MCA of HECM Loans,576,580,Numeric,5,9(3)v9(2),hmonthly_layout.pdf,,,D,float64,Float64
90,Property Type MANUF HECM UPB as % of Principal Limit of HECM Loans,581,585,Numeric,5,9(3)v9(2),hmonthly_layout.pdf,,,D,float64,Float64
91,Property Type MANUF HECM UPB as % of MCA,586,590,Numeric,5,9(3)v9(2),hmonthly_layout.pdf,,,D,float64,Float64
92,Property Type PUD Number of Participations,591,596,Numeric,6,9(6),hmonthly_layout.pdf,,,D,Int64,Int64
93,Property Type PUD UPB of Participations,597,609,Numeric,13,9(11)v9(2),hmonthly_layout.pdf,,,D,float64,Float64
