Item,Data Item,Begin,End,Type,Length,Remarks,File,Min_Date,Max_Date,Record_Type,pandas_dtype,polars_dtype
1,Record Type (H = File Header),1,1,Character,1,X,llmonforb_LOAN LEVEL FORBEARANCE SUPPLEMENTAL Layout V 1.1 (Dec 2021 - Present).pdf,2021-12-01,2099-12-31,H,string,String
2,File Name,2,23,Character,22,X(22),llmonforb_LOAN LEVEL FORBEARANCE SUPPLEMENTAL Layout V 1.1 (Dec 2021 - Present).pdf,2021-12-01,2099-12-31,H,string,String
3,File Number,24,26,Numeric,3,9(3),llmonforb_LOAN LEVEL FORBEARANCE SUPPLEMENTAL Layout V 1.1 (Dec 2021 - Present).pdf,2021-12-01,2099-12-31,H,Int64,Int64
4,File Correction Flag (Y/N),27,27,Character,1,X,llmonforb_LOAN LEVEL FORBEARANCE SUPPLEMENTAL Layout V 1.1 (Dec 2021 - Present).pdf,2021-12-01,2099-12-31,H,string,String
5,As of Date (CCYYMM),28,33,Numeric,6,9(6),llmonforb_LOAN LEVEL FORBEARANCE SUPPLEMENTAL Layout V 1.1 (Dec 2021 - Present).pdf,2021-12-01,2099-12-31,H,Int64,Int64
6,Date File Generated (CCYYMMDD),34,41,Numeric,8,9(8),llmonforb_LOAN LEVEL FORBEARANCE SUPPLEMENTAL Layout V 1.1 (Dec 2021 - Present).pdf,2021-12-01,2099-12-31,H,Int64,Int64
1,Record Type (P = Pool Header Information),1,1,Character,1,X,llmonforb_LOAN LEVEL FORBEARANCE SUPPLEMENTAL Layout V 1.1 (Dec 2021 - Present).pdf,2021-12-01,2099-12-31,P,string,String
2,CUSIP Number,2,10,Character,9,X(9),llmonforb_LOAN LEVEL FORBEARANCE SUPPLEMENTAL Layout V 1.1 (Dec 2021 - Present).pdf,2021-12-01,2099-12-31,P,string,String
3,Pool ID,11,16,Character,6,X(6),llmonforb_LOAN LEVEL FORBEARANCE SUPPLEMENTAL Layout V 1.1 (Dec 2021 - Present).pdf,2021-12-01,2099-12-31,P,string,String
4,Issue Type,17,17,Character,1,X,llmonforb_LOAN LEVEL FORBEARANCE SUPPLEMENTAL Layout V 1.1 (Dec 2021 - Present).pdf,2021-12-01,2099-12-31,P,string,String
5,Pool Type,18,19,Character,2,X(2),llmonforb_LOAN LEVEL FORBEARANCE SUPPLEMENTAL Layout V 1.1 (Dec 2021 - Present).pdf,2021-12-01,2099-12-31,P,string,String
6,Pool Issue Date (CCYYMMDD),20,27,Numeric,8,9(8),llmonforb_LOAN LEVEL FORBEARANCE SUPPLEMENTAL Layout V 1.1 (Dec 2021 - Present).pdf,2021-12-01,2099-12-31,P,Int64,Int64
7,Issuer ID,28,31,Numeric,4,9(4),llmonforb_LOAN LEVEL FORBEARANCE SUPPLEMENTAL Layout V 1.1 (Dec 2021 - Present).pdf,2021-12-01,2099-12-31,P,Int64,Int64
8,As of Date (CCYYMM),32,37,Numeric,6,9(6),llmonforb_LOAN LEVEL FORBEARANCE SUPPLEMENTAL Layout V 1.1 (Dec 2021 - Present).pdf,2021-12-01,2099-12-31,P,Int64,Int64
1,Record Type (F=Loan Level Forbearance),1,1,Character,1,X,llmonforb_LOAN LEVEL FORBEARANCE SUPPLEMENTAL Layout V 1.1 (Dec 2021 - Present).pdf,2021-12-01,2099-12-31,F,string,String
2,Pool ID,2,7,Character,6,X(6),llmonforb_LOAN LEVEL FORBEARANCE SUPPLEMENTAL Layout V 1.1 (Dec 2021 - Present).pdf,2021-12-01,2099-12-31,F,string,String
3,Disclosure Sequence Number,8,17,Numeric,10,9(10),llmonforb_LOAN LEVEL FORBEARANCE SUPPLEMENTAL Layout V 1.1 (Dec 2021 - Present).pdf,2021-12-01,2099-12-31,F,Int64,Int64
4,Issuer ID (including for loans in MIP pool),18,21,Numeric,4,9(4),llmonforb_LOAN LEVEL FORBEARANCE SUPPLEMENTAL Layout V 1.1 (Dec 2021 - Present).pdf,2021-12-01,2099-12-31,F,Int64,Int64
5,Number of Months Forbearance (Term),22,23,Character,2,XX,llmonforb_LOAN LEVEL FORBEARANCE SUPPLEMENTAL Layout V 1.1 (Dec 2021 - Present).pdf,2021-12-01,2099-12-31,F,,
6,COVID Flag,24,24,Character,1,X,llmonforb_LOAN LEVEL FORBEARANCE SUPPLEMENTAL Layout V 1.1 (Dec 2021 - Present).pdf,2021-12-01,2099-12-31,F,string,String
7,Begin Date (CCYYMMDD),25,32,Numeric,8,9(8),llmonforb_LOAN LEVEL FORBEARANCE SUPPLEMENTAL Layout V 1.1 (Dec 2021 - Present).pdf,2021-12-01,2099-12-31,F,Int64,Int64
8,End Date (CCYYMMDD),33,40,Numeric,8,9(8),llmonforb_LOAN LEVEL FORBEARANCE SUPPLEMENTAL Layout V 1.1 (Dec 2021 - Present).pdf,2021-12-01,2099-12-31,F,Int64,Int64
9,Forbearance “Exit” Code,41,41,Character,1,X,llmonforb_LOAN LEVEL FORBEARANCE SUPPLEMENTAL Layout V 1.1 (Dec 2021 - Present).pdf,2021-12-01,2099-12-31,F,string,String
10,Current Month Liquidation Flag (Yes or No),42,42,Character,1,X,llmonforb_LOAN LEVEL FORBEARANCE SUPPLEMENTAL Layout V 1.1 (Dec 2021 - Present).pdf,2021-12-01,2099-12-31,F,string,String
11,As-Of Date (CCYYMM),43,48,Numeric,6,9(6),llmonforb_LOAN LEVEL FORBEARANCE SUPPLEMENTAL Layout V 1.1 (Dec 2021 - Present).pdf,2021-12-01,2099-12-31,F,Int64,Int64
1,Record Type (T=Pool Trailer Information),1,1,Character,1,X,llmonforb_LOAN LEVEL FORBEARANCE SUPPLEMENTAL Layout V 1.1 (Dec 2021 - Present).pdf,2021-12-01,2099-12-31,T,string,String
2,CUSIP Number,2,10,Character,9,X(9),llmonforb_LOAN LEVEL FORBEARANCE SUPPLEMENTAL Layout V 1.1 (Dec 2021 - Present).pdf,2021-12-01,2099-12-31,T,string,String
3,Pool ID,11,16,Character,6,X(6),llmonforb_LOAN LEVEL FORBEARANCE SUPPLEMENTAL Layout V 1.1 (Dec 2021 - Present).pdf,2021-12-01,2099-12-31,T,string,String
4,Issue Type,17,17,Character,1,X,llmonforb_LOAN LEVEL FORBEARANCE SUPPLEMENTAL Layout V 1.1 (Dec 2021 - Present).pdf,2021-12-01,2099-12-31,T,string,String
5,Pool Type,18,19,Character,2,X(2),llmonforb_LOAN LEVEL FORBEARANCE SUPPLEMENTAL Layout V 1.1 (Dec 2021 - Present).pdf,2021-12-01,2099-12-31,T,string,String
