Item,Data Element,Type,Max Length,Format,Definition,File,Min_Date,Max_Date,Record_Type,pandas_dtype,polars_dtype
HH-1,Record Type = HH,Character,2,,File Header Record,llpaymhist_MBS LOAN PAYMENT HISTORY Layout.pdf,,,HH,,
HH-2,Report Period,Numeric,6,YYYYMM,"Reporting Period of the data in the file (the “as of” month
and year).",llpaymhist_MBS LOAN PAYMENT HISTORY Layout.pdf,,,HH,,
HH-3,Date File Generated,Numeric,8,YYYYMMDD,The Date the file was created,llpaymhist_MBS LOAN PAYMENT HISTORY Layout.pdf,,,HH,,
PH-1,Record Type = PH,Character,2,,File Header Record,llpaymhist_MBS LOAN PAYMENT HISTORY Layout.pdf,,,PH,,
PH-2,CUSIP Number,Character,9,,"The CUSIP is a unique identification number permanently
assigned by the Committee on Uniform Securities
Identification Procedures (CUSIP) to each publicly traded
security at the time of issuance.",llpaymhist_MBS LOAN PAYMENT HISTORY Layout.pdf,,,PH,,
PH-3,Pool ID,Character,6,,The Pool identifier assigned by Ginnie Mae at pooling.,llpaymhist_MBS LOAN PAYMENT HISTORY Layout.pdf,,,PH,,
PH-4,Pool Indicator,Character,1,,"Identifies the Issue Type of the pool. Values are X, C, or
M.",llpaymhist_MBS LOAN PAYMENT HISTORY Layout.pdf,,,PH,,
PH-5,Pool Type,Character,2,,"Two-character pool type for the pool (see listing in Ginnie
Mae Guide, Chapter 1).",llpaymhist_MBS LOAN PAYMENT HISTORY Layout.pdf,,,PH,,
PH-6,Pool Issue Date,Numeric,8,YYYYMMDD,The date the pool was issued.,llpaymhist_MBS LOAN PAYMENT HISTORY Layout.pdf,,,PH,,
PH-7,Issuer ID,Numeric,4,,"The four-digit identifier for the current Issuer responsible
for the loan. There will be no value in this field for
Multiple Issuer Pools.",llpaymhist_MBS LOAN PAYMENT HISTORY Layout.pdf,,,PH,,
PH-8,Report Period,Numeric,6,YYYYMM,"Reporting Period of the data in the file (the “as of” month
and year).",llpaymhist_MBS LOAN PAYMENT HISTORY Layout.pdf,,,PH,,
LL-1,Record Type = LL,Character,2,,Loan Payment History Record,llpaymhist_MBS LOAN PAYMENT HISTORY Layout.pdf,,,LL,,
