Item,Data Item,Data Type,Format,Max Length,File,Min_Date,Max_Date,group_id,pandas_dtype,polars_dtype
P1,CUSIP Number,String,,9,mfpldailymni3_MULTIFAMILY POOL AND LOAN NEW ISSUANCE MONTHLY DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,-1,,
P2,Pool Number,String,,6,mfpldailymni3_MULTIFAMILY POOL AND LOAN NEW ISSUANCE MONTHLY DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,-1,,
P3,Pool Indicator (X),String,,1,mfpldailymni3_MULTIFAMILY POOL AND LOAN NEW ISSUANCE MONTHLY DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,-1,,
P4,Pool Type,String,,2,mfpldailymni3_MULTIFAMILY POOL AND LOAN NEW ISSUANCE MONTHLY DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,-1,,
P5,Security Interest Rate,Numeric,2.3,6,mfpldailymni3_MULTIFAMILY POOL AND LOAN NEW ISSUANCE MONTHLY DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,-1,,
P6,Pool Issue Date,Date,CCYYMMDD,8,mfpldailymni3_MULTIFAMILY POOL AND LOAN NEW ISSUANCE MONTHLY DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,-1,,
P7,Pool Maturity Date,Date,CCYYMMDD,8,mfpldailymni3_MULTIFAMILY POOL AND LOAN NEW ISSUANCE MONTHLY DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,-1,,
P8,Original Aggregate Amount,Numeric,13.2,16,mfpldailymni3_MULTIFAMILY POOL AND LOAN NEW ISSUANCE MONTHLY DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,-1,,
P9,Issuer Number,Numeric,,4,mfpldailymni3_MULTIFAMILY POOL AND LOAN NEW ISSUANCE MONTHLY DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,-1,,
P10,Issuer Name,String,,40,mfpldailymni3_MULTIFAMILY POOL AND LOAN NEW ISSUANCE MONTHLY DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,-1,,
