Item,Data Element,Type,Max Length,Format,Description,Definition,File,Min_Date,Max_Date,Record_Type,pandas_dtype,polars_dtype
01,Record Type = HP,Character,2,,,File Header Record,nimonSFPS_MBS SF MONTHLY NEW ISSUES - POOL_SECURITY Layout V1.2.4 (Mar 2022 - Dec 2022).pdf,2022-03-01,2022-12-01,HP,,
02,Reporting Period,Numeric,6,YYYYMM,,The monthly reporting period for the data in the file.,nimonSFPS_MBS SF MONTHLY NEW ISSUES - POOL_SECURITY Layout V1.2.4 (Mar 2022 - Dec 2022).pdf,2022-03-01,2022-12-01,HP,,
03,Create Date,Date,8,YYYYMMDD,,The date that the file is produced.,nimonSFPS_MBS SF MONTHLY NEW ISSUES - POOL_SECURITY Layout V1.2.4 (Mar 2022 - Dec 2022).pdf,2022-03-01,2022-12-01,HP,,
01,Record Type = PS,Character,2,,,SF Pool/Security Detail Record,nimonSFPS_MBS SF MONTHLY NEW ISSUES - POOL_SECURITY Layout V1.2.4 (Mar 2022 - Dec 2022).pdf,2022-03-01,2022-12-01,PS,,
02,CUSIP Number,Character,9,,,"The unique identification number permanently assigned by the
Committee on Uniform Securities Identification Procedures
(CUSIP).",nimonSFPS_MBS SF MONTHLY NEW ISSUES - POOL_SECURITY Layout V1.2.4 (Mar 2022 - Dec 2022).pdf,2022-03-01,2022-12-01,PS,,
03,Pool ID,Character,6,,,"The Ginnie Mae unique identifier for the pool; this is assigned by
Ginnie Mae at pool issuance.",nimonSFPS_MBS SF MONTHLY NEW ISSUES - POOL_SECURITY Layout V1.2.4 (Mar 2022 - Dec 2022).pdf,2022-03-01,2022-12-01,PS,,
04,Pool Indicator,Character,1,,,"Identifies the Issue Type of the pool. Values are X, C, or M.",nimonSFPS_MBS SF MONTHLY NEW ISSUES - POOL_SECURITY Layout V1.2.4 (Mar 2022 - Dec 2022).pdf,2022-03-01,2022-12-01,PS,,
05,Pool Type,Character,2,,,"The type of Ginnie Mae pool. Appendix 1 provides a listing of
pool types.",nimonSFPS_MBS SF MONTHLY NEW ISSUES - POOL_SECURITY Layout V1.2.4 (Mar 2022 - Dec 2022).pdf,2022-03-01,2022-12-01,PS,,
06,Issue Date,Date,8,YYYYMMDD,,The date that the pool was issued,nimonSFPS_MBS SF MONTHLY NEW ISSUES - POOL_SECURITY Layout V1.2.4 (Mar 2022 - Dec 2022).pdf,2022-03-01,2022-12-01,PS,,
07,Security Interest Rate,Numeric,6,2.3,,"The interest rate of the Ginnie Mae Security. For ARM pools this
is the rate in effect for the report period.",nimonSFPS_MBS SF MONTHLY NEW ISSUES - POOL_SECURITY Layout V1.2.4 (Mar 2022 - Dec 2022).pdf,2022-03-01,2022-12-01,PS,,
08,Maturity Date,Numeric,8,YYYYMMDD,,"The date on which the final payment for the Security is
scheduled to be paid.",nimonSFPS_MBS SF MONTHLY NEW ISSUES - POOL_SECURITY Layout V1.2.4 (Mar 2022 - Dec 2022).pdf,2022-03-01,2022-12-01,PS,,
09,Original Aggregate Amount,Numeric,16,13.2,,The aggregate principal amount (UPB at issuance) of the loans in the pool at pool issuance.,nimonSFPS_MBS SF MONTHLY NEW ISSUES - POOL_SECURITY Layout V1.2.4 (Mar 2022 - Dec 2022).pdf,2022-03-01,2022-12-01,PS,,
10,Remaining Security RPB,Numeric,16,13.2,,"The Remaining Principal Balance of the Security as of the end of
the Reporting Period; (based on a computation of scheduled
principal).",nimonSFPS_MBS SF MONTHLY NEW ISSUES - POOL_SECURITY Layout V1.2.4 (Mar 2022 - Dec 2022).pdf,2022-03-01,2022-12-01,PS,,
11,RPB Factor,Numeric,10,1.8,,"The decimal value of the Security’s Remaining Principal Balance
divided by the Original Aggregate Amount. The factor is 1 at
issuance, and zero in the period of final payment.",nimonSFPS_MBS SF MONTHLY NEW ISSUES - POOL_SECURITY Layout V1.2.4 (Mar 2022 - Dec 2022).pdf,2022-03-01,2022-12-01,PS,,
12,Issuer Number,Numeric,4,,,"A four-digit number which identifies the Issuer responsible for
the pool; a value of “9999” indicates a Multiple Issuer Pool.",nimonSFPS_MBS SF MONTHLY NEW ISSUES - POOL_SECURITY Layout V1.2.4 (Mar 2022 - Dec 2022).pdf,2022-03-01,2022-12-01,PS,,
13,Issuer Name,Character,40,,,"The name of the Issuer currently responsible for the pool; a value
of “Multiple Issuers” indicates Multiple Issuer Pool.",nimonSFPS_MBS SF MONTHLY NEW ISSUES - POOL_SECURITY Layout V1.2.4 (Mar 2022 - Dec 2022).pdf,2022-03-01,2022-12-01,PS,,
14,Number of loans in pool,Numeric,6,,,The current total number of loans in the pool.,nimonSFPS_MBS SF MONTHLY NEW ISSUES - POOL_SECURITY Layout V1.2.4 (Mar 2022 - Dec 2022).pdf,2022-03-01,2022-12-01,PS,,
15,Pool UPB,Numeric,16,13.2,,"The sum of the Loan UPBs in the pool. This is the aggregate of
the actual UPB balances of the loans in the pool.",nimonSFPS_MBS SF MONTHLY NEW ISSUES - POOL_SECURITY Layout V1.2.4 (Mar 2022 - Dec 2022).pdf,2022-03-01,2022-12-01,PS,,
16,Average Original Loan Size (AOLS),Numeric,16,13.2,,"Original Loan Size (original principal amount of the loan) for the
loans in the pool. This is a simple average, not a weighted
average.",nimonSFPS_MBS SF MONTHLY NEW ISSUES - POOL_SECURITY Layout V1.2.4 (Mar 2022 - Dec 2022).pdf,2022-03-01,2022-12-01,PS,,
17,WA Original Loan Size,Numeric,16,13.2,,"Weighted Average of the Original Loan Size (principal amount of
the loan) of the loans in the pool.",nimonSFPS_MBS SF MONTHLY NEW ISSUES - POOL_SECURITY Layout V1.2.4 (Mar 2022 - Dec 2022).pdf,2022-03-01,2022-12-01,PS,,
18,WA Interest Rate (WAC),Numeric,6,2.3,,"Weighted Average Interest Rate (Coupon) of loans in the pool.
This is the gross WA Interest Rate (not the Security Rate).",nimonSFPS_MBS SF MONTHLY NEW ISSUES - POOL_SECURITY Layout V1.2.4 (Mar 2022 - Dec 2022).pdf,2022-03-01,2022-12-01,PS,,
19,WA Remaining Months to Maturity (WARM),Numeric,3,,,"Weighted Average Remaining Maturity (remaining months to pay
off the loans) for the loans in the pool.",nimonSFPS_MBS SF MONTHLY NEW ISSUES - POOL_SECURITY Layout V1.2.4 (Mar 2022 - Dec 2022).pdf,2022-03-01,2022-12-01,PS,,
20,WA Loan Age (WALA),Numeric,3,,,"Weighted Average Loan Age (age of loans in months from the
first scheduled payment date) for the loans in the pool.",nimonSFPS_MBS SF MONTHLY NEW ISSUES - POOL_SECURITY Layout V1.2.4 (Mar 2022 - Dec 2022).pdf,2022-03-01,2022-12-01,PS,,
21,WA Original Loan Term (WAOLT),Numeric,3,,,"Weighted Average Original Loan Term (original term of loans in
months) for the loans in the pool.",nimonSFPS_MBS SF MONTHLY NEW ISSUES - POOL_SECURITY Layout V1.2.4 (Mar 2022 - Dec 2022).pdf,2022-03-01,2022-12-01,PS,,
