Item,Data Element,Type,Max Length,Format,Definition,File,Min_Date,Max_Date,Record_Type,pandas_dtype,polars_dtype
01,Record Type = HF,Character,2,,File Header Record,plmonforb_POOL LEVEL FORBEARANCE SUPPLEMENTAL Layout V1.0.2 (Feb 2021 - Mar 2023).pdf,2021-02-01,2023-03-01,HF,,
02,Reporting Period,Numeric,6,YYYYMM,The monthly reporting period for the data in the file.,plmonforb_POOL LEVEL FORBEARANCE SUPPLEMENTAL Layout V1.0.2 (Feb 2021 - Mar 2023).pdf,2021-02-01,2023-03-01,HF,,
03,Create Date,Date,8,YYYYMMDD,The date that the file is produced.,plmonforb_POOL LEVEL FORBEARANCE SUPPLEMENTAL Layout V1.0.2 (Feb 2021 - Mar 2023).pdf,2021-02-01,2023-03-01,HF,,
01,Record Type = 90,Character,2,,"Forbearance Type Stratification; for pools with loans that have a
reported forbearance record. Stratification record types do not
include a type for “not-in-forbearance”.",plmonforb_POOL LEVEL FORBEARANCE SUPPLEMENTAL Layout V1.0.2 (Feb 2021 - Mar 2023).pdf,2021-02-01,2023-03-01,90,,
02,CUSIP,Character,9,,"The unique identification number permanently assigned by the
Committee on Uniform Securities Identification Procedures
(CUSIP).",plmonforb_POOL LEVEL FORBEARANCE SUPPLEMENTAL Layout V1.0.2 (Feb 2021 - Mar 2023).pdf,2021-02-01,2023-03-01,90,,
03,Pool ID,Character,6,,"The Ginnie Mae unique identifier for the pool; this is assigned by
Ginnie Mae at pool issuance.",plmonforb_POOL LEVEL FORBEARANCE SUPPLEMENTAL Layout V1.0.2 (Feb 2021 - Mar 2023).pdf,2021-02-01,2023-03-01,90,,
04,Pool Indicator,Character,1,,"Identifies the Issue Type of the pool. Values are X, C, or M.",plmonforb_POOL LEVEL FORBEARANCE SUPPLEMENTAL Layout V1.0.2 (Feb 2021 - Mar 2023).pdf,2021-02-01,2023-03-01,90,,
05,Pool Type,Character,2,,"The type of Ginnie Mae pool. Appendix 1 provides a listing of
pool types.",plmonforb_POOL LEVEL FORBEARANCE SUPPLEMENTAL Layout V1.0.2 (Feb 2021 - Mar 2023).pdf,2021-02-01,2023-03-01,90,,
06,Forbearance Type,Numeric,2,,"Values are:
1 = Forbearance is COVID Related
2 = Forbearance Other (is not COVID related)
9 = Forbearance Type Unavailable",plmonforb_POOL LEVEL FORBEARANCE SUPPLEMENTAL Layout V1.0.2 (Feb 2021 - Mar 2023).pdf,2021-02-01,2023-03-01,90,,
07,Number of Loans,Numeric,6,,The number of loans in the pool for the Forbearance Type Value.,plmonforb_POOL LEVEL FORBEARANCE SUPPLEMENTAL Layout V1.0.2 (Feb 2021 - Mar 2023).pdf,2021-02-01,2023-03-01,90,,
08,% of Loans,Numeric,6,3.2,"The percentage of the number of loans in the pool for the
Forbearance Type Value.",plmonforb_POOL LEVEL FORBEARANCE SUPPLEMENTAL Layout V1.0.2 (Feb 2021 - Mar 2023).pdf,2021-02-01,2023-03-01,90,,
09,UPB,Numeric,16,13.2,"The total Unpaid Balance (UPB) in the pool for the Forbearance
Type Value.",plmonforb_POOL LEVEL FORBEARANCE SUPPLEMENTAL Layout V1.0.2 (Feb 2021 - Mar 2023).pdf,2021-02-01,2023-03-01,90,,
10,% of UPB,Numeric,6,3.2,"The percentage of the total Unpaid Balance (UPB) in the pool for
the Forbearance Type Value.",plmonforb_POOL LEVEL FORBEARANCE SUPPLEMENTAL Layout V1.0.2 (Feb 2021 - Mar 2023).pdf,2021-02-01,2023-03-01,90,,
01,Record Type = 91,Character,2,,Forbearance Type and Delinquency Stratification,plmonforb_POOL LEVEL FORBEARANCE SUPPLEMENTAL Layout V1.0.2 (Feb 2021 - Mar 2023).pdf,2021-02-01,2023-03-01,91,,
02,CUSIP,Character,9,,"The unique identification number permanently assigned by the
Committee on Uniform Securities Identification Procedures
(CUSIP).",plmonforb_POOL LEVEL FORBEARANCE SUPPLEMENTAL Layout V1.0.2 (Feb 2021 - Mar 2023).pdf,2021-02-01,2023-03-01,91,,
03,Pool ID,Character,6,,"The Ginnie Mae unique identifier for the pool; this is assigned by
Ginnie Mae at pool issuance.",plmonforb_POOL LEVEL FORBEARANCE SUPPLEMENTAL Layout V1.0.2 (Feb 2021 - Mar 2023).pdf,2021-02-01,2023-03-01,91,,
