Item,Data Item,Begin,End,Type,Length,Remarks,File,Min_Date,Max_Date,pandas_dtype,polars_dtype
1,Pool ID,1,6,Character,6,X(6),factorAAdd_FACTOR A ADDITIONAL Layout.pdf,,,string,String
2,Pool Indicator,7,7,Character,1,X,factorAAdd_FACTOR A ADDITIONAL Layout.pdf,,,string,String
3,Issuer Number,8,11,Character,4,X(4),factorAAdd_FACTOR A ADDITIONAL Layout.pdf,,,string,String
4,Filler,12,12,Character,1,X,factorAAdd_FACTOR A ADDITIONAL Layout.pdf,,,string,String
5,Issuer Name,13,72,Character,60,X(60),factorAAdd_FACTOR A ADDITIONAL Layout.pdf,,,string,String
6,Original Aggregate Amount,73,87,Numeric,15,9(13)V9(2),factorAAdd_FACTOR A ADDITIONAL Layout.pdf,,,,
7,Remaining Security RPB,88,102,Numeric,15,9(13)V9(2),factorAAdd_FACTOR A ADDITIONAL Layout.pdf,,,,
8,RPB Factor,103,111,Numeric,9,9(1)V9(8),factorAAdd_FACTOR A ADDITIONAL Layout.pdf,,,,
9,Pool Interest Rate,112,116,Numeric,5,9(2)V9(3),factorAAdd_FACTOR A ADDITIONAL Layout.pdf,,,,
10,Pool Type,117,118,Character,2,X(2),factorAAdd_FACTOR A ADDITIONAL Layout.pdf,,,string,String
11,Pool Issue Date (MMDDYY),119,124,Numeric,6,9(6),factorAAdd_FACTOR A ADDITIONAL Layout.pdf,,,Int64,Int64
12,Pool Maturity Date (MMDDYY),125,130,Numeric,6,9(6),factorAAdd_FACTOR A ADDITIONAL Layout.pdf,,,Int64,Int64
13,Factor Security Margin,131,134,Numeric,4,9(1)V9(3),factorAAdd_FACTOR A ADDITIONAL Layout.pdf,,,,
14,Interest Adjustment Date (MMDDYY),135,140,Numeric,6,9(6),factorAAdd_FACTOR A ADDITIONAL Layout.pdf,,,Int64,Int64
15,Original Interest Rate,141,145,Numeric,5,9(2)V9(3),factorAAdd_FACTOR A ADDITIONAL Layout.pdf,,,,
16,Prospective Interest Rate,146,150,Numeric,5,9(2)V9(3),factorAAdd_FACTOR A ADDITIONAL Layout.pdf,,,,
17,Index Reference Date (MMDDYY),151,156,Numeric,6,9(6),factorAAdd_FACTOR A ADDITIONAL Layout.pdf,,,Int64,Int64
18,Payment Adjustment Date (MMDDYY),157,162,Numeric,6,9(6),factorAAdd_FACTOR A ADDITIONAL Layout.pdf,,,Int64,Int64
19,CUSIP Number,163,171,Character,9,X(9),factorAAdd_FACTOR A ADDITIONAL Layout.pdf,,,string,String
20,Filler,172,172,Character,1,X,factorAAdd_FACTOR A ADDITIONAL Layout.pdf,,,string,String
21,Factor Percentage Complete,173,178,Numeric,6,9(2)V9(4),factorAAdd_FACTOR A ADDITIONAL Layout.pdf,,,,
