Item,Data Element,Type,Max Length,Format,Description,Definition,File,Min_Date,Max_Date,Record_Type,pandas_dtype,polars_dtype
01,Record Type = HP,Character,2,,,File Header Record,hmonthlyS_HMBS PORTFOLIO – POOL SUPPLEMENTAL                               Layout V5.1 (Apr 2024 - Sep 2024).pdf,2024-04-01,2024-09-01,HP,,
02,Reporting Period,Numeric,6,YYYYMM,,The monthly reporting period for the data in the file.,hmonthlyS_HMBS PORTFOLIO – POOL SUPPLEMENTAL                               Layout V5.1 (Apr 2024 - Sep 2024).pdf,2024-04-01,2024-09-01,HP,,
03,Create Date,Date,8,YYYYMMDD,,The date that the file is produced.,hmonthlyS_HMBS PORTFOLIO – POOL SUPPLEMENTAL                               Layout V5.1 (Apr 2024 - Sep 2024).pdf,2024-04-01,2024-09-01,HP,,
01,Record Type = PS,Character,2,,,HMBS Pool/Security Detail Record,hmonthlyS_HMBS PORTFOLIO – POOL SUPPLEMENTAL                               Layout V5.1 (Apr 2024 - Sep 2024).pdf,2024-04-01,2024-09-01,PS,,
02,CUSIP Number,Character,9,,,"The unique identification number permanently assigned by
the Committee on Uniform Securities Identification
Procedures (CUSIP).",hmonthlyS_HMBS PORTFOLIO – POOL SUPPLEMENTAL                               Layout V5.1 (Apr 2024 - Sep 2024).pdf,2024-04-01,2024-09-01,PS,,
03,Pool ID,Character,6,Col4,,The Ginnie Mae unique identifier for the pool; this is assigned by Ginnie Mae at pool issuance.,hmonthlyS_HMBS PORTFOLIO – POOL SUPPLEMENTAL                               Layout V5.1 (Apr 2024 - Sep 2024).pdf,2024-04-01,2024-09-01,PS,,
04,Pool Indicator,Character,1,,,Identifies the Issue Type of the pool. Value is H.,hmonthlyS_HMBS PORTFOLIO – POOL SUPPLEMENTAL                               Layout V5.1 (Apr 2024 - Sep 2024).pdf,2024-04-01,2024-09-01,PS,,
05,Pool Type,Character,2,,,"The type of Ginnie Mae pool. Appendix 1 provides a listing
of pool types.",hmonthlyS_HMBS PORTFOLIO – POOL SUPPLEMENTAL                               Layout V5.1 (Apr 2024 - Sep 2024).pdf,2024-04-01,2024-09-01,PS,,
06,Index Type,Character,5,,,"The type of ARM index being used. It will be either CMT
(Constant Maturity Treasury), LIBOR (London Interbank
Offered Rate), or SOFR (Secured Overnight Financing Rate).
(SOFR implementation TBD).",hmonthlyS_HMBS PORTFOLIO – POOL SUPPLEMENTAL                               Layout V5.1 (Apr 2024 - Sep 2024).pdf,2024-04-01,2024-09-01,PS,,
07,Pool Issue Date,Date,8,YYYYMMDD,,The date the pool was issued.,hmonthlyS_HMBS PORTFOLIO – POOL SUPPLEMENTAL                               Layout V5.1 (Apr 2024 - Sep 2024).pdf,2024-04-01,2024-09-01,PS,,
