Item,Data Element,Type,Max Length,Format,Description,Definition,File,Min_Date,Max_Date,Record_Type,pandas_dtype,polars_dtype
1,Record Type = HP,Character,2,,,File Header Record,hnissuesS_layout.pdf,,,HP,,
2,Reporting Period,Numeric,6,YYYYMM,,The monthly reporting period for the data in the file.,hnissuesS_layout.pdf,,,HP,,
3,Create Date,Date,8,YYYYMMDD,,The date that the file is produced.,hnissuesS_layout.pdf,,,HP,,
1,Record Type = PS,Character,2,,,HMBS Pool/Security Detail Record,hnissuesS_layout.pdf,,,PS,,
2,CUSIP Number,Character,9,Col4,,The unique identification number permanently assigned by the Committee on Uniform Securities Identification Procedures (CUSIP).,hnissuesS_layout.pdf,,,PS,,
3,Pool ID,Character,6,,,"The Ginnie Mae unique identifier for the pool; this is
assigned by Ginnie Mae at pool issuance.",hnissuesS_layout.pdf,,,PS,,
4,Pool Indicator,Character,1,,,Identifies the Issue Type of the pool. Value is H.,hnissuesS_layout.pdf,,,PS,,
5,Pool Type,Character,2,,,"The type of Ginnie Mae pool. Appendix 1 provides a listing
of pool types.",hnissuesS_layout.pdf,,,PS,,
6,Index Type,Character,5,,,"The type of ARM index being used. It will be either CMT
(Constant Maturity Treasury), LIBOR (London Interbank
Offered Rate), or SOFR (Secured Overnight Financing Rate).
(SOFR implementation TBD).",hnissuesS_layout.pdf,,,PS,,
7,Pool Issue Date,Date,8,YYYYMMDD,,The date the pool was issued.,hnissuesS_layout.pdf,,,PS,,
8,Pool Maturity Date,Date,8,YYYYMMDD,,"The date on which the final payment for the Security is
scheduled to be paid.",hnissuesS_layout.pdf,,,PS,,
9,Issuer Number,Numeric,4,,,"A four-digit number which identifies the Issuer responsible
for the pool.",hnissuesS_layout.pdf,,,PS,,
10,Issuer Name,Character,40,,,The name of the Issuer currently responsible for the pool.,hnissuesS_layout.pdf,,,PS,,
11,Original Aggregate Amount,Numeric,16,13.2,,"The aggregate principal amount (UPB at issuance) of the
participations in the pool at pool issuance.",hnissuesS_layout.pdf,,,PS,,
12,Pool Unpaid Principal Balance,Numeric,16,13.2,,"Sum of the UPB amounts of the active participations in the
pool.",hnissuesS_layout.pdf,,,PS,,
13,Security RPB,Numeric,16,13.2,,The remaining principal balance for the Security.,hnissuesS_layout.pdf,,,PS,,
14,RPB Factor,Numeric,10,1.8,,"The decimal value of the Security’s Remaining Principal
Balance divided by the Original Aggregate Amount. The
factor is 1 at issuance, and zero in the period of final
payment.",hnissuesS_layout.pdf,,,PS,,
15,Number of Participations in pool.,Numeric,5,,,The current total number of participations in the pool.,hnissuesS_layout.pdf,,,PS,,
