Item,Data Element,Type,Max Length,Format,Description,Definition,File,Min_Date,Max_Date,Record_Type,pandas_dtype,polars_dtype
01,Record Type = PHP,Character,3,,,File Header Record,hplatmonPS_HMBS PLATINUM PORTFOLIO – POOL_SECURITY Layout V2.0 (Dec 2024 - Present).pdf,2024-12-01,2099-12-31,PHP,,
02,Reporting Period,Numeric,6,YYYYMM,,The monthly reporting period for the data in the file.,hplatmonPS_HMBS PLATINUM PORTFOLIO – POOL_SECURITY Layout V2.0 (Dec 2024 - Present).pdf,2024-12-01,2099-12-31,PHP,,
03,Create Date,Date,8,YYYYMMDD,,The date that the file is produced.,hplatmonPS_HMBS PLATINUM PORTFOLIO – POOL_SECURITY Layout V2.0 (Dec 2024 - Present).pdf,2024-12-01,2099-12-31,PHP,,
01,Record Type = PPS,Character,3,,,HMBS Platinum Pool/Security Detail Record,hplatmonPS_HMBS PLATINUM PORTFOLIO – POOL_SECURITY Layout V2.0 (Dec 2024 - Present).pdf,2024-12-01,2099-12-31,PPS,,
02,CUSIP Number,Character,9,,,"The unique identification number permanently assigned by
the Committee on Uniform Securities Identification
Procedures (CUSIP).",hplatmonPS_HMBS PLATINUM PORTFOLIO – POOL_SECURITY Layout V2.0 (Dec 2024 - Present).pdf,2024-12-01,2099-12-31,PPS,,
03,Pool ID,Character,6,,,"The Ginnie Mae unique identifier for the HMBS Platinum
Pool; this is assigned by Ginnie Mae at pool issuance.",hplatmonPS_HMBS PLATINUM PORTFOLIO – POOL_SECURITY Layout V2.0 (Dec 2024 - Present).pdf,2024-12-01,2099-12-31,PPS,,
04,Pool Indicator,Character,1,,,"Identifies the Issue Type of the pool. This is always “H” for
HMBS Platinum Pools.",hplatmonPS_HMBS PLATINUM PORTFOLIO – POOL_SECURITY Layout V2.0 (Dec 2024 - Present).pdf,2024-12-01,2099-12-31,PPS,,
05,Pool Type,Character,2,,,"The type of HMBS Platinum Pool. Appendix 1 provides a
listing of pool types.",hplatmonPS_HMBS PLATINUM PORTFOLIO – POOL_SECURITY Layout V2.0 (Dec 2024 - Present).pdf,2024-12-01,2099-12-31,PPS,,
06,Index Type,Character,5,,,"The type of ARM index associated with the HECM loans in
the underlying HMBS collateral pools. These indexes are
relevant only to the HECM loans in the collateral pools. It is
not an index for the HMBS Platinum pool.
It will be either CMT (Constant Maturity Treasury), LIBOR
(London Interbank Offered Rate), or SOFR (Secured
Overnight Financing Rate). (SOFR implementation TBD).",hplatmonPS_HMBS PLATINUM PORTFOLIO – POOL_SECURITY Layout V2.0 (Dec 2024 - Present).pdf,2024-12-01,2099-12-31,PPS,,
07,Pool Issue Date,Date,8,YYYYMMDD,,The date the pool was issued.,hplatmonPS_HMBS PLATINUM PORTFOLIO – POOL_SECURITY Layout V2.0 (Dec 2024 - Present).pdf,2024-12-01,2099-12-31,PPS,,
08,Pool Maturity Date,Date,8,YYYYMMDD,,The date that the HMBS Platinum Pool matures.,hplatmonPS_HMBS PLATINUM PORTFOLIO – POOL_SECURITY Layout V2.0 (Dec 2024 - Present).pdf,2024-12-01,2099-12-31,PPS,,
09,Original Aggregate Amount,Numeric,16,13.2,,"The sum of the original principal amounts for the collateral
pools in the HMBS Platinum pool at issuance; the starting
balance of the HMBS Platinum pool.",hplatmonPS_HMBS PLATINUM PORTFOLIO – POOL_SECURITY Layout V2.0 (Dec 2024 - Present).pdf,2024-12-01,2099-12-31,PPS,,
10,Pool Unpaid Principal Balance,Numeric,16,13.2,,"The sum of the underlying collateral pool UPBs for the
HMBS Platinum Pool for the reporting month.",hplatmonPS_HMBS PLATINUM PORTFOLIO – POOL_SECURITY Layout V2.0 (Dec 2024 - Present).pdf,2024-12-01,2099-12-31,PPS,,
11,Security RPB,Numeric,16,13.2,,The remaining principal balance for the Security.,hplatmonPS_HMBS PLATINUM PORTFOLIO – POOL_SECURITY Layout V2.0 (Dec 2024 - Present).pdf,2024-12-01,2099-12-31,PPS,,
12,RPB Factor,Numeric,10,1.8,,"The decimal value of the Security’s Remaining Principal
Balance divided by the Original Aggregate Amount. The
factor is 1 at issuance, and zero in the period of final
payment.",hplatmonPS_HMBS PLATINUM PORTFOLIO – POOL_SECURITY Layout V2.0 (Dec 2024 - Present).pdf,2024-12-01,2099-12-31,PPS,,
13,Unpaid Principal Balance of Participations with Payments,Numeric,14,11.2,,"The sum of Pools with Participations UPBs with Payments
for the pools included in the HMBS Platinum Pool.",hplatmonPS_HMBS PLATINUM PORTFOLIO – POOL_SECURITY Layout V2.0 (Dec 2024 - Present).pdf,2024-12-01,2099-12-31,PPS,,
14,Percent of UPB Paid Off,Numeric,6,3.2,,"The Paid Off UPBs of the HMBS Platinum Pool expressed as
a percentage of the HMBS Platinum Pool’s total UPB.",hplatmonPS_HMBS PLATINUM PORTFOLIO – POOL_SECURITY Layout V2.0 (Dec 2024 - Present).pdf,2024-12-01,2099-12-31,PPS,,
15,Average Original Participation Size (AOPS),Numeric,9,6.2,,"The Weighted Average of the underlying collateral pool
average participation Original Principal Balance (OPB)
values (based on original Participation size at issuance), for
all the collateral pools in the HMBS Platinum.",hplatmonPS_HMBS PLATINUM PORTFOLIO – POOL_SECURITY Layout V2.0 (Dec 2024 - Present).pdf,2024-12-01,2099-12-31,PPS,,
