Item,Data Item,Begin,End,Type,Length,Remarks,File,Min_Date,Max_Date,Record_Type,pandas_dtype,polars_dtype
1,CUSIP Number,1,9,Character,9,X(9),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,string,String
2,Pool Number,10,15,Character,6,X(6),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,string,String
3,"Pool Indicator (X, C, or M)",16,16,Character,1,X,nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,string,String
4,Pool Type,17,18,Character,2,X(2),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,string,String
5,Record Type (D=Pool Details),19,19,Character,1,X,nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,string,String
6,Pool Interest Rate (Security interest rate),20,24,Numeric,5,9(2)v9(3),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,float64,Float64
7,Pool Issue Date,25,32,Numeric,8,9(8),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,Int64,Int64
8,Pool Maturity Date,33,40,Numeric,8,9(8),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,Int64,Int64
9,Original Aggregate Amount,41,55,Numeric,15,9(13)v9(2),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,float64,Float64
10,Issuer Number,56,59,Numeric,4,9(4),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,Int64,Int64
11,Issuer Name,60,99,Character,40,X(40),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,string,String
12,Security Margin (ARM pools only),100,103,Numeric,4,9(1)v9(3),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,float64,Float64
13,Interest Adjustment Date (ARM pools only),104,111,Numeric,8,9(8),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,Int64,Int64
14,Payment Adjustment Date (ARM pools only),112,119,Numeric,8,9(8),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,Int64,Int64
15,Number of loans in pool,120,125,Numeric,6,9(6),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,Int64,Int64
16,Average Original Loan Size (AOLS),126,133,Numeric,8,9(6)v9(2),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,float64,Float64
17,Maximum AOLS (Q4),134,141,Numeric,8,9(6)v9(2),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,float64,Float64
18,75th Percentile AOLS (Q3),142,149,Numeric,8,9(6)v9(2),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,float64,Float64
19,Median AOLS (Q2),150,157,Numeric,8,9(6)v9(2),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,float64,Float64
20,25th Percentile AOLS (Q1),158,165,Numeric,8,9(6)v9(2),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,float64,Float64
21,Minimum AOLS (Q0),166,173,Numeric,8,9(6)v9(2),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,float64,Float64
22,WAC,174,178,Numeric,5,9(2)v9(3),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,float64,Float64
23,Maximum WAC (Q4),179,183,Numeric,5,9(2)v9(3),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,float64,Float64
24,75th Percentile WAC (Q3),184,188,Numeric,5,9(2)v9(3),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,float64,Float64
25,Median WAC (Q2),189,193,Numeric,5,9(2)v9(3),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,float64,Float64
26,25th Percentile WAC (Q1),194,198,Numeric,5,9(2)v9(3),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,float64,Float64
27,Minimum WAC (Q0),199,203,Numeric,5,9(2)v9(3),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,float64,Float64
28,WARM,204,206,Numeric,3,9(3),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,Int64,Int64
29,Maximum WARM (Q4),207,209,Numeric,3,9(3),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,Int64,Int64
30,75th Percentile WARM (Q3),210,212,Numeric,3,9(3),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,Int64,Int64
31,Median WARM (Q2),213,215,Numeric,3,9(3),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,Int64,Int64
