Item,Data Element,Type,Max Length,Format,Definition,File,Min_Date,Max_Date,Record_Type,pandas_dtype,polars_dtype
1,Record Type = HF,Character,2,,File Header Record,plmonforb_POOL LEVEL FORBEARANCE SUPPLEMENTAL Layout V1.0.1 (May 2020 - Jan 2021).pdf,2020-05-01,2021-01-01,HF,,
2,Reporting Period,Numeric,6,YYYYMM,The monthly reporting period for the data in the file.,plmonforb_POOL LEVEL FORBEARANCE SUPPLEMENTAL Layout V1.0.1 (May 2020 - Jan 2021).pdf,2020-05-01,2021-01-01,HF,,
3,Create Date,Date,8,YYYYMMDD,The date that the file is produced.,plmonforb_POOL LEVEL FORBEARANCE SUPPLEMENTAL Layout V1.0.1 (May 2020 - Jan 2021).pdf,2020-05-01,2021-01-01,HF,,
1,Record Type = 90,Character,2,,"Forbearance Type Stratification; for pools with loans that have a
reported forbearance record. Stratification record types do not
include a type for “not-in-forbearance”.",plmonforb_POOL LEVEL FORBEARANCE SUPPLEMENTAL Layout V1.0.1 (May 2020 - Jan 2021).pdf,2020-05-01,2021-01-01,90,,
2,CUSIP,Character,9,,"The unique identification number permanently assigned by the
Committee on Uniform Securities Identification Procedures
(CUSIP).",plmonforb_POOL LEVEL FORBEARANCE SUPPLEMENTAL Layout V1.0.1 (May 2020 - Jan 2021).pdf,2020-05-01,2021-01-01,90,,
3,Pool ID,Character,6,,"The Ginnie Mae unique identifier for the pool; this is assigned by
Ginnie Mae at pool issuance.",plmonforb_POOL LEVEL FORBEARANCE SUPPLEMENTAL Layout V1.0.1 (May 2020 - Jan 2021).pdf,2020-05-01,2021-01-01,90,,
4,Pool Indicator,Character,1,,"Identifies the Issue Type of the pool. Values are X, C, or M.",plmonforb_POOL LEVEL FORBEARANCE SUPPLEMENTAL Layout V1.0.1 (May 2020 - Jan 2021).pdf,2020-05-01,2021-01-01,90,,
5,Pool Type,Character,2,,"The type of Ginnie Mae pool. Appendix 1 provides a listing of
pool types.",plmonforb_POOL LEVEL FORBEARANCE SUPPLEMENTAL Layout V1.0.1 (May 2020 - Jan 2021).pdf,2020-05-01,2021-01-01,90,,
6,Forbearance Type,Numeric,2,,"Values are:
1 = Forbearance is COVID Related
2 = Forbearance Other (is not COVID related)
9 = Forbearance Type Unavailable",plmonforb_POOL LEVEL FORBEARANCE SUPPLEMENTAL Layout V1.0.1 (May 2020 - Jan 2021).pdf,2020-05-01,2021-01-01,90,,
7,Number of Loans,Numeric,6,,The number of loans in the pool for the Forbearance Type Value.,plmonforb_POOL LEVEL FORBEARANCE SUPPLEMENTAL Layout V1.0.1 (May 2020 - Jan 2021).pdf,2020-05-01,2021-01-01,90,,
8,% of Loans,Numeric,6,3.2,"The percentage of the number of loans in the pool for the
Forbearance Type Value.",plmonforb_POOL LEVEL FORBEARANCE SUPPLEMENTAL Layout V1.0.1 (May 2020 - Jan 2021).pdf,2020-05-01,2021-01-01,90,,
9,UPB,Numeric,16,13.2,"The total Unpaid Balance (UPB) in the pool for the Forbearance
Type Value.",plmonforb_POOL LEVEL FORBEARANCE SUPPLEMENTAL Layout V1.0.1 (May 2020 - Jan 2021).pdf,2020-05-01,2021-01-01,90,,
10,% of UPB,Numeric,6,3.2,"The percentage of the total Unpaid Balance (UPB) in the pool for
the Forbearance Type Value.",plmonforb_POOL LEVEL FORBEARANCE SUPPLEMENTAL Layout V1.0.1 (May 2020 - Jan 2021).pdf,2020-05-01,2021-01-01,90,,
1,Record Type = 91,Character,2,,Forbearance Type and Delinquency Stratification,plmonforb_POOL LEVEL FORBEARANCE SUPPLEMENTAL Layout V1.0.1 (May 2020 - Jan 2021).pdf,2020-05-01,2021-01-01,91,,
2,CUSIP,Character,9,,"The unique identification number permanently assigned by the
Committee on Uniform Securities Identification Procedures
(CUSIP).",plmonforb_POOL LEVEL FORBEARANCE SUPPLEMENTAL Layout V1.0.1 (May 2020 - Jan 2021).pdf,2020-05-01,2021-01-01,91,,
