mbs_column,umbs_column,standardized_name,match_type
Channel,Channel,Channel,exact
First Payment Date,First Payment Date,First Payment Date,exact
Loan Purpose,Loan Purpose,Loan Purpose,exact
Maturity Date,Maturity Date,Maturity Date,exact
Mortgage Insurance Cancellation Indicator,Mortgage Insurance Cancellation Indicator,Mortgage Insurance Cancellation Indicator,exact
Number of Borrowers,Number of Borrowers,Number of Borrowers,exact
Number of Units,Number of Units,Number of Units,exact
Occupancy Status,Occupancy Status,Occupancy Status,exact
Original Interest Rate,Original Interest Rate,Original Interest Rate,exact
Property State,Property State,Property State,exact
Property Type,Property Type,Property Type,exact
Property Valuation Method,Property Valuation Method,Property Valuation Method,exact
Seller Name,Seller Name,Seller Name,exact
Servicer Name,Servicer Name,Servicer Name,exact
First Time Homebuyer Flag,,First Time Home Buyer Indicator,fhlmc_only
HARP Indicator,,HARP Indicator,fhlmc_only
Interest Only (I/O) Indicator,,Interest Only (I/O) Indicator,fhlmc_only
Loan Sequence Number,,Loan Sequence Number,fhlmc_only
Metropolitan Statistical Area (MSA) Or Metropolitan Division,,Metropolitan Statistical Area (MSA) Or Metropolitan Division,fhlmc_only
Original UPB,,Mortgage Loan Amount,fhlmc_only
Postal Code,,Postal Code,fhlmc_only
Pre-HARP Loan Sequence Number,,Pre-HARP Loan Sequence Number,fhlmc_only
Prepayment Penalty Mortgage (PPM) Flag,,Prepayment Penalty Mortgage (PPM) Flag,fhlmc_only
Program Indicator,,Program Indicator,fhlmc_only
Super Conforming Flag,,Super Conforming Flag,fhlmc_only
,Alternative Delinquency Resolution,Alternative Delinquency Resolution,umbs_only
,Assumability Indicator,Assumability Indicator,umbs_only
,Borrower Assistance Plan,Borrower Assistance Plan,umbs_only
,CUSIP,CUSIP,umbs_only
,Convertibility Indicator,Convertibility Indicator,umbs_only
,Current Deferred UPB,Current Deferred UPB,umbs_only
,Current Interest Rate,Current Interest Rate,umbs_only
,Current Investor Loan UPB,Current Investor Loan UPB,umbs_only
,Current Net Interest Rate,Current Net Interest Rate,umbs_only
,Days Delinquent,Days Delinquent,umbs_only
,Estimated Loan-To-Value (ELTV),Estimated Loan-To-Value (ELTV),umbs_only
,Filler,Filler,umbs_only
,Filler_duplicated_0,Filler_duplicated_0,umbs_only
,Filler_duplicated_1,Filler_duplicated_1,umbs_only
,Filler_duplicated_2,Filler_duplicated_2,umbs_only
,Filler_duplicated_3,Filler_duplicated_3,umbs_only
,Filler_duplicated_4,Filler_duplicated_4,umbs_only
,Filler_duplicated_5,Filler_duplicated_5,umbs_only
,First Time Home Buyer Indicator,First Time Home Buyer Indicator,umbs_only
,Government Insured Guarantee,Government Insured Guarantee,umbs_only
,Index,Index,umbs_only
